File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_dblib_driver.php,333,134,74,27,44,1,155,672,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_dblib_forge.php,145,47,24,6,14,0,84,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_firebird_driver.php,264,100,40,13,29,0,135,567,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_firebird_forge.php,238,103,49,17,27,0,108,448,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_ibm_driver.php,245,98,49,15,30,0,117,505,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_ibm_forge.php,155,45,23,4,16,0,94,417,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_informix_driver.php,310,142,51,15,33,1,135,564,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_informix_forge.php,164,56,26,5,15,0,93,408,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_mysql_driver.php,318,127,70,28,41,0,150,638,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_mysql_forge.php,257,120,52,19,31,0,106,439,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_oci_driver.php,296,120,65,20,38,2,138,572,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_oci_forge.php,150,52,27,8,16,0,82,386,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_odbc_driver.php,267,88,51,14,33,0,146,596,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_odbc_forge.php,71,8,4,0,6,0,57,317,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_pgsql_driver.php,380,151,82,29,52,0,177,662,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_pgsql_forge.php,211,96,42,16,23,0,92,414,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlite_driver.php,220,77,44,18,29,0,114,503,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlite_forge.php,239,82,43,14,27,0,130,529,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlsrv_driver.php,370,161,91,33,52,1,157,686,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlsrv_forge.php,145,47,24,6,14,0,84,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_driver.php,640,274,144,60,91,1,275,1005,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_forge.php,206,95,41,16,22,0,89,408,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_result.php,183,55,29,11,20,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_utility.php,79,10,6,1,6,0,63,323,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_driver.php,358,121,67,31,49,0,188,707,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_forge.php,206,67,34,11,22,0,117,488,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_result.php,165,47,25,10,18,0,100,446,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_utility.php,62,8,4,1,4,0,50,296,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_driver.php,375,138,71,37,50,0,187,705,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_forge.php,226,80,41,14,25,0,121,509,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_result.php,195,70,36,12,23,0,102,461,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_utility.php,62,8,4,1,4,0,50,295,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_driver.php,569,237,122,57,79,1,253,982,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_forge.php,145,47,24,6,14,0,84,384,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_result.php,194,61,33,10,24,0,109,453,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_utility.php,78,10,6,1,7,1,61,322,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\array_helper.php,116,29,14,6,11,0,76,418,0,0
